Time (s),Position (m),Velocity (m/s),,,mass: 40.2g
0.36,0.1596665,0.1619722222,,,
0.38,0.1651545,0.2329541667,,,
0.4,0.169442,0.2932173611,,,
0.42,0.1754445,0.4116,,,
0.44,0.1853915,0.5511819444,,,
0.46,0.1991115,0.6221638889,,,
0.48,0.210602,0.6724229167,,,
0.5,0.2255225,0.7379263889,,,
0.52,0.2402715,0.7979513889,,,
0.54,0.25725,0.8665513889,,,
0.56,0.2752575,0.9184777778,,,
0.58,0.2941225,0.9632583333,,,
0.6,0.313845,1.002560417,,,
0.62,0.3342535,1.03971875,,,
0.64,0.3555195,1.072827778,,,
0.66,0.3771285,1.106413194,,,
0.68,0.3997665,1.139284028,,,
0.7,0.422919,1.162388889,,,
0.72,0.446243,1.185255556,,,
0.74,0.470253,1.206693056,,,
0.76,0.4947775,1.215268056,,,
0.78,0.5194735,1.202405556,,,
0.8,0.5421115,1.22408125,,,
0.82,0.567322,1.293872222,,,
0.84,0.594762,1.329601389,,,
0.86,0.6210015,1.347465972,,,
0.88,0.647927,1.402965278,,,
0.9,0.6762245,1.523968056,,,
0.92,0.7070945,1.694991667,,,
