Time (s),Position (m),Velocity (m/s),,,weight: 77.1g
0.42,0.1576085,0.1298159722,,,
0.44,0.1661835,0.4068361111,,,
0.46,0.1771595,0.55951875,,,
0.48,0.1884785,0.7088666667,,,
0.5,0.2049425,0.8625020833,,,
0.52,0.223636,0.9875541667,,,
0.54,0.245588,1.062109028,,,
0.56,0.265482,1.154290278,,,
0.58,0.2913785,1.256713889,,,
0.6,0.317275,1.293634028,,,
0.62,0.343,1.333888889,,,
0.64,0.370097,1.384386111,,,
0.66,0.398566,1.422735417,,,
0.68,0.4289215,1.386291667,,,
0.7,0.453103,1.394628472,,,
0.72,0.481915,1.52420625,,,
0.74,0.514843,1.630202778,,,
0.76,0.548457,1.683796528,,,
0.78,0.581728,1.750967361,,,
0.8,0.6179145,1.840052083,,,
0.82,0.655473,1.923181944,,,
0.84,0.695604,1.970344444,,,
