Time (s),Position (m),Velocity (m/s),,,weight: 106g
0.36,0.1579515,0.04335138889,,,
0.38,0.15778,0.2031798611,,,
0.4,0.164297,0.4568569444,,,
0.42,0.176645,0.6983861111,,,
0.44,0.1922515,0.9320548611,,,
0.46,0.2142035,1.126659722,,,
0.48,0.2399285,1.208836806,,,
0.5,0.2639385,1.229083333,,,
0.52,0.2845185,1.431310417,,,
0.54,0.3225915,1.576847222,,,
0.56,0.3507175,1.588756944,,,
0.58,0.384503,1.654022222,,,
0.6,0.417774,1.676650694,,,
0.62,0.4508735,1.739295833,,,
0.64,0.48706,1.816709028,,,
0.66,0.523418,1.895313194,,,
0.68,0.5626915,1.972488194,,,
0.7,0.6048805,1.9422375,,,
0.72,0.639695,1.956052778,,,
0.74,0.6799975,2.107544444,,,
0.76,0.722701,2.313344444,,,
0.78,0.7756945,2.380991667,,,
0.8,0.8206275,2.2981,,,
0.82,0.866418,2.259274306,,,
0.84,0.913409,2.147322917,,,
0.86,0.945994,2.307151389,,,
0.88,1.0034465,2.574405556,,,
